epiweek,all_hosp,sen_hosp
2020-03-16,1,953
2020-03-23,16,2503
2020-03-30,12,3113
2020-04-06,529,3017
2020-04-13,469,3230
2020-04-20,338,3116
2020-04-27,557,3065
2020-05-04,451,2700
2020-05-11,459,2510
2020-05-18,399,2416
2020-05-25,303,1997
2020-06-01,200,1588
2020-06-08,288,1315
2020-06-15,251,1299
2020-06-22,511,1481
2020-06-29,846,1948
2020-07-06,999,2508
2020-07-13,22000,2647
2020-07-20,33644,2483
2020-07-27,38484,2259
2020-08-03,32884,2053
2020-08-10,31510,1855
2020-08-17,30245,1708
2020-08-24,29747,1437
2020-08-31,26933,1326
2020-09-07,28234,1269
2020-09-14,23851,1251
2020-09-21,24693,1405
2020-09-28,27417,1436
2020-10-05,33428,1795
2020-10-12,36880,2053
2020-10-19,40806,2443
2020-10-26,46012,3014
2020-11-02,56324,3989
2020-11-09,70636,5176
2020-11-16,81587,5862
2020-11-23,86627,6103
2020-11-30,94234,6408
2020-12-07,101309,6572
2020-12-14,104628,6351
2020-12-21,106027,6341
2020-12-28,111856,6460
2021-01-04,116066,6864
2021-01-11,108598,6104
2021-01-18,94286,5240
2021-01-25,80394,4355
2021-02-01,69176,3777
2021-02-08,55658,2878
2021-02-15,46316,2567
2021-02-22,41613,2340
2021-03-01,35566,2034
2021-03-08,33568,2123
2021-03-15,32916,2296
2021-03-22,34841,2678
2021-03-29,35978,2867
2021-04-05,38965,3333
2021-04-12,39600,3357
2021-04-19,36760,3032
2021-04-26,33482,2666
2021-05-03,30047,2397
2021-05-10,25675,1885
2021-05-17,22776,1603
2021-05-24,19873,1227
2021-05-31,16319,941
2021-06-07,14798,779
2021-06-14,13318,634
2021-06-21,13348,594
2021-06-28,14559,566
2021-07-05,17886,745
2021-07-12,24037,982
2021-07-19,35000,1386
2021-07-26,50253,2074
2021-08-02,66600,2794
2021-08-09,79529,3390
2021-08-16,86106,3805
2021-08-23,86669,4052
2021-08-30,85355,4117
2021-09-06,80203,3829
2021-09-13,72027,3405
2021-09-20,62230,3227
2021-09-27,53699,2951
2021-10-04,49086,2956
2021-10-11,44420,2790
2021-10-18,39473,2612
2021-10-25,36657,2635
2021-11-01,35682,2681
2021-11-08,38047,3143
2021-11-15,41796,3325
2021-11-22,44780,3578
2021-11-29,51273,4083
2021-12-06,55992,4417
2021-12-13,55314,4361
2021-12-20,63924,5281
2021-12-27,104874,9157
2022-01-03,141114,11645
2022-01-10,152430,11109
2022-01-17,141169,9068
2022-01-24,123103,7005
2022-01-31,93994,4919
2022-02-07,69583,3689
2022-02-14,47576,2473
2022-02-21,33693,1913
2022-02-28,24717,1429
2022-03-07,17965,1046
2022-03-14,14022,875
2022-03-21,11982,810
2022-03-28,10289,710
2022-04-04,10388,834
2022-04-11,10881,1066
2022-04-18,12770,1283
2022-04-25,15447,1562
2022-05-02,18570,1926
2022-05-09,21756,2327
2022-05-16,25138,2521
2022-05-23,27378,2456
2022-05-30,28781,2508
2022-06-06,30199,2469
2022-06-13,30959,2424
2022-06-20,34114,2721
2022-06-27,36684,2716
2022-07-04,40638,2956
2022-07-11,43786,3100
2022-07-18,46035,3173
2022-07-25,44730,3218
2022-08-01,43675,3183
2022-08-08,41880,3034
2022-08-15,38886,2863
2022-08-22,36892,2799
2022-08-29,34456,2420
2022-09-05,31518,2309
2022-09-12,29079,2146
2022-09-19,26840,2115
2022-09-26,24533,1958
2022-10-03,23628,2001
2022-10-10,23097,2065
2022-10-17,23099,2098
2022-10-24,23624,2061
2022-10-31,24249,2208
2022-11-07,24186,2303
2022-11-14,24768,2338
2022-11-21,27909,2561
2022-11-28,34400,3065
2022-12-05,35631,3076
2022-12-12,37888,3129
2022-12-19,39443,3188
2022-12-26,46272,3581
2023-01-02,43775,3370
2023-01-09,36873,2638
2023-01-16,31400,2264
2023-01-23,28333,2156
2023-01-30,26381,2019
2023-02-06,26592,2106
2023-02-13,25678,2048
2023-02-20,23965,1893
2023-02-27,22471,1784
2023-03-06,19961,1579
2023-03-13,18135,1426
2023-03-20,17303,1405
2023-03-27,15835,1194
2023-04-03,14305,1074
2023-04-10,13482,1053
2023-04-17,11680,950
2023-04-24,10226,821
2023-05-01,9751,766
2023-05-08,9107,733
2023-05-15,8350,663
2023-05-22,7678,621
2023-05-29,7460,507
2023-06-05,6826,448
2023-06-12,6609,459
2023-06-19,6245,446
2023-06-26,6441,460
2023-07-03,6530,437
2023-07-10,7159,500
2023-07-17,8181,549
2023-07-24,9375,727
2023-07-31,10937,808
2023-08-07,13060,942
2023-08-14,15475,1072
2023-08-21,18048,1295
2023-08-28,19520,1329
2023-09-04,21674,1411
2023-09-11,20331,1438
2023-09-18,20565,1450
2023-09-25,18990,1507
2023-10-02,17191,1474
2023-10-09,16226,1354
2023-10-16,16164,1370
2023-10-23,16329,1366
2023-10-30,15176,1353
2023-11-06,16882,1533
2023-11-13,18183,1514
2023-11-20,19731,1617
2023-11-27,23347,1980
2023-12-04,23789,1986
2023-12-11,25614,2002
2023-12-18,30156,2178
2023-12-25,36012,2543
2024-01-01,34753,2495
2024-01-08,30734,2345
2024-01-15,25289,1963
2024-01-22,23330,1774
2024-01-29,21141,1584
2024-02-05,20124,1414
2024-02-12,19235,1372
2024-02-19,17677,1347
2024-02-26,15583,1154
2024-03-04,13289,932
2024-03-11,10800,803
2024-03-18,9310,626
2024-03-25,8083,561
2024-04-01,7418,580
2024-04-08,6506,479
2024-04-15,5670,364
2024-04-22,4534,
