report_date,new_hospitalization,new_icu,country_name
2020-02-23,1,0,New Zealand
2020-03-01,1,0,New Zealand
2020-03-15,1,0,New Zealand
2020-03-15,3,0,New Zealand
2020-03-22,5,0,New Zealand
2020-03-22,13,3,New Zealand
2020-03-29,4,2,New Zealand
2020-03-29,4,1,New Zealand
2020-04-05,5,0,New Zealand
2020-04-05,1,0,New Zealand
2020-04-12,5,0,New Zealand
2020-04-12,4,0,New Zealand
2020-04-19,1,0,New Zealand
2020-04-26,1,0,New Zealand
2020-05-03,1,1,New Zealand
2020-05-10,1,0,New Zealand
2020-06-21,1,0,New Zealand
2020-08-09,4,0,New Zealand
2020-08-16,2,2,New Zealand
2020-08-16,4,3,New Zealand
2020-08-23,2,0,New Zealand
2020-08-30,1,0,New Zealand
2020-08-30,2,1,New Zealand
2020-09-06,2,0,New Zealand
2021-01-17,1,0,New Zealand
2021-01-31,1,0,New Zealand
2021-02-28,2,0,New Zealand
2021-06-06,2,0,New Zealand
2021-07-25,1,0,New Zealand
2021-08-01,2,0,New Zealand
2021-08-15,3,0,New Zealand
2021-08-15,1,0,New Zealand
2021-08-22,9,4,New Zealand
2021-08-22,11,4,New Zealand
2021-08-29,2,0,New Zealand
2021-08-29,5,2,New Zealand
2021-09-05,4,0,New Zealand
2021-09-05,2,0,New Zealand
2021-09-12,5,0,New Zealand
2021-09-12,3,0,New Zealand
2021-09-19,7,2,New Zealand
2021-09-19,1,0,New Zealand
2021-09-26,7,2,New Zealand
2021-09-26,9,3,New Zealand
2021-10-03,5,0,New Zealand
2021-10-03,9,2,New Zealand
2021-10-10,18,1,New Zealand
2021-10-10,8,0,New Zealand
2021-10-17,19,1,New Zealand
2021-10-17,28,1,New Zealand
2021-10-24,18,0,New Zealand
2021-10-24,24,0,New Zealand
2021-10-31,21,0,New Zealand
2021-10-31,30,4,New Zealand
2021-11-07,21,0,New Zealand
2021-11-07,29,3,New Zealand
2021-11-14,32,2,New Zealand
2021-11-14,28,2,New Zealand
2021-11-21,30,5,New Zealand
2021-11-21,28,3,New Zealand
2021-11-28,18,0,New Zealand
2021-11-28,21,3,New Zealand
2021-12-05,15,2,New Zealand
2021-12-05,10,1,New Zealand
2021-12-12,8,0,New Zealand
2021-12-12,11,1,New Zealand
2021-12-19,8,1,New Zealand
2021-12-19,13,1,New Zealand
2021-12-26,2,0,New Zealand
2021-12-26,6,1,New Zealand
2022-01-02,5,0,New Zealand
2022-01-02,4,0,New Zealand
2022-01-09,4,0,New Zealand
2022-01-09,9,1,New Zealand
2022-01-16,2,0,New Zealand
2022-01-16,5,1,New Zealand
2022-01-23,6,0,New Zealand
2022-01-23,2,0,New Zealand
2022-01-30,23,3,New Zealand
2022-01-30,14,1,New Zealand
2022-02-06,41,0,New Zealand
2022-02-06,27,1,New Zealand
2022-02-13,90,3,New Zealand
2022-02-13,86,4,New Zealand
2022-02-20,263,3,New Zealand
2022-02-20,263,7,New Zealand
2022-02-27,332,8,New Zealand
2022-02-27,278,6,New Zealand
2022-03-06,364,5,New Zealand
2022-03-06,343,9,New Zealand
2022-03-13,352,8,New Zealand
2022-03-13,325,16,New Zealand
2022-03-20,280,8,New Zealand
2022-03-20,290,10,New Zealand
2022-03-27,236,10,New Zealand
2022-03-27,248,18,New Zealand
2022-04-03,205,7,New Zealand
2022-04-03,213,11,New Zealand
2022-04-10,184,5,New Zealand
2022-04-10,171,4,New Zealand
2022-04-17,171,1,New Zealand
2022-04-17,176,2,New Zealand
2022-04-24,150,1,New Zealand
2022-04-24,168,12,New Zealand
2022-05-01,151,5,New Zealand
2022-05-01,167,7,New Zealand
2022-05-08,164,3,New Zealand
2022-05-08,165,7,New Zealand
2022-05-15,168,6,New Zealand
2022-05-15,186,5,New Zealand
2022-05-22,157,2,New Zealand
2022-05-22,152,4,New Zealand
2022-05-29,179,5,New Zealand
2022-05-29,188,9,New Zealand
2022-06-05,130,3,New Zealand
2022-06-05,157,3,New Zealand
2022-06-12,125,3,New Zealand
2022-06-12,144,7,New Zealand
2022-06-19,144,2,New Zealand
2022-06-19,162,3,New Zealand
2022-06-26,166,1,New Zealand
2022-06-26,180,5,New Zealand
2022-07-03,125,3,New Zealand
2022-07-03,157,7,New Zealand
2022-07-10,70,2,New Zealand
2022-07-10,73,2,New Zealand
